# LET[MeV*cm2/mg]  Phi[part/cm2/s]  P_recovery
5.376086e+00  5.298317e+04  0.000000
5.376086e+00  7.880463e+04  0.000000
5.376086e+00  1.172102e+05  0.000000
5.376086e+00  1.743329e+05  0.000000
5.376086e+00  2.592944e+05  0.000000
5.376086e+00  3.856620e+05  0.000000
5.376086e+00  5.736153e+05  0.000000
5.376086e+00  8.531679e+05  0.000000
5.376086e+00  1.268961e+06  0.000000
5.376086e+00  1.887392e+06  0.000000
5.376086e+00  2.807216e+06  0.000000
5.376086e+00  4.175319e+06  0.000000
5.376086e+00  6.210169e+06  0.000000
5.376086e+00  9.236709e+06  0.000000
5.376086e+00  1.373824e+07  0.000000
5.376086e+00  2.043360e+07  0.000000
5.376086e+00  3.039195e+07  0.000000
5.376086e+00  4.520354e+07  0.000000
5.376086e+00  6.723358e+07  0.000000
5.376086e+00  1.000000e+08  0.000000

6.453749e+00  1.000000e+03  0.893112
6.453749e+00  1.487352e+03  0.564351
6.453749e+00  2.212216e+03  0.142385
6.453749e+00  3.290345e+03  0.006476
6.453749e+00  4.893901e+03  0.000019
6.453749e+00  7.278954e+03  0.000000
6.453749e+00  1.082637e+04  0.000000
6.453749e+00  1.610262e+04  0.000000
6.453749e+00  2.395027e+04  0.000000
6.453749e+00  3.562248e+04  0.000000
6.453749e+00  5.298317e+04  0.000000
6.453749e+00  7.880463e+04  0.000000
6.453749e+00  1.172102e+05  0.000000
6.453749e+00  1.743329e+05  0.000000
6.453749e+00  2.592944e+05  0.000000
6.453749e+00  3.856620e+05  0.000000
6.453749e+00  5.736153e+05  0.000000
6.453749e+00  8.531679e+05  0.000000
6.453749e+00  1.268961e+06  0.000000
6.453749e+00  1.887392e+06  0.000000
6.453749e+00  2.807216e+06  0.000000
6.453749e+00  4.175319e+06  0.000000
6.453749e+00  6.210169e+06  0.000000
6.453749e+00  9.236709e+06  0.000000
6.453749e+00  1.373824e+07  0.000000
6.453749e+00  2.043360e+07  0.000000
6.453749e+00  3.039195e+07  0.000000
6.453749e+00  4.520354e+07  0.000000
6.453749e+00  6.723358e+07  0.000000
6.453749e+00  1.000000e+08  0.000000

7.747435e+00  1.000000e+03  0.811834
7.747435e+00  1.487352e+03  0.403139
7.747435e+00  2.212216e+03  0.062233
7.747435e+00  3.290345e+03  0.001246
7.747435e+00  4.893901e+03  0.000001
7.747435e+00  7.278954e+03  0.000000
7.747435e+00  1.082637e+04  0.000000
7.747435e+00  1.610262e+04  0.000000
7.747435e+00  2.395027e+04  0.000000
7.747435e+00  3.562248e+04  0.000000
7.747435e+00  5.298317e+04  0.000000
